0468dd23-2d20-4fae-b20c-8add2bce2d57,Anne Harris,HUMA
05832dfc-d2cb-44bd-98a4-22e43a21e0ec,Stephen Jackman,HUMA
0614d8e1-e7ff-4799-a069-9627af7b4d1d,Stephen Meyers,ECON
08ff2258-a198-45dc-adba-788b116a8fbc,Sam Tan,SOSC
0b18326a-7ee9-4e1c-b356-9036a3e7676f,Felix Colbert,ACCT
11791e43-3e78-40a8-afe7-251d6762df1e,Andrew Ng,ECON  
14492363-5872-4897-bd98-db301ed761ff,Venkat Ramanathan,ENGL
15a14ac3-b3e6-42e7-b431-ffe8839a30cc,Kerry Hathaway,ACCT
18c776b4-d15e-4125-b459-5dbd6a46ae20,Willow Harris,SOSC
19fb3f0d-5859-4c63-979d-632213e67711,Terrence Meyers,ENGL
1a7ba6d1-e672-4d88-8ac2-2d171751386a,Andrew Jackson,HUMA
2133e1d1-b595-45e6-83ef-380107c1be5f,Janice Ng,ECON
2399936e-8968-4b56-b7e2-76f4b8d6af52,Melania the Cat,FINC
255e72b8-8522-4711-b861-6507f27af225,Michael the Cat,ENGL
260809ba-8a3a-4c1d-b18a-89c955e47bfd,Sonic Chan,COMS
282f73b3-9a64-440f-a62e-09f2ae69ab19,Stephen of Scots,ACCT
2aae87de-b193-486a-98e4-49af205a99f5,Sonic Harris,FINC
2db3e1fc-797d-4cee-9c7c-86793907201a,Willow Knauss,BUSI
2f5afb64-fce9-4a0d-8bbd-059acca005fb,Stephen Stark,FINC
3278010b-58a0-4202-9eb3-fec0ddf1c9a1,Felix Harris,COMS
35860ad5-cc92-4873-b5c2-b876062404e0,Willow the Cat,FINC
36c6a946-1027-4e82-9821-1e220c4751ed,Terrence Pompeo,SOSC
3c586171-51b2-484b-96d4-7ca640bc7476,Axel Jackman,COMS
3dfa90d2-40ee-4984-9ebf-b07be3f70f4f,Seth Harris,ECON
3fa4edc7-5192-4e80-99ce-13cfc8afe749,Anna Stark,INTA
40ef562d-05be-47e3-881f-4b9e0d316223,Janice Jackson,SOSC
451a48ce-9ef7-4c1c-ad10-c255faac5dc7,Willow Stark,ACCT
45f9ed46-40a7-4424-ac20-a9c9c80fb596,Andrew Lee,SOSC
479177d5-2852-4dda-933f-b0b737a7f9a6,Sonic Meyers,INTA
47befd79-42fa-442b-9a4c-082def8496f7,Anne Meyers,SOSC
4bbd1f6f-e293-44b1-9371-a383cefd4af7,Felix Pompeo,FINC
4c6c0841-cbb1-4b29-b33b-9aa19ffbbaf2,Donald Tan,BUSI
4e858936-0926-4bde-9a5f-76129ab96941,Melania the Hedgehog,STAT
5042e8ca-ef83-4458-a78c-07e4f6ba0d1d,Willow the Dog,STAT
55b6143d-9d04-4bb5-8267-967602ac8405,Terrence Colbert,STAT
55e3b8b7-61e5-4fb3-aa66-33540173bb51,Hughes Harris,STAT
57774483-3ace-4647-80b7-ca3ab22caf8c,Donald Summers,ECON
5a6e76bd-95ff-451d-a39a-fbfff2fadb86,Seth Trump,ACCT
5a718f0a-0f58-4f74-9e2a-3129d24640a3,Mary Jackson,INTA
60f3f171-8d0b-4c93-9688-c15c7c765ba0,Willow Colbert,HUMA
6360178c-cfa3-47e2-99db-e1bc0107ca8d,Melania Jackson,COMS
66df34ae-1118-4c7c-92aa-efa03d63ea8f,Stephen Knauss,SOSC
696cbb3b-4192-4825-94b9-fc5e37e4142a,Mary Summers,ENGL
6ad09979-3e94-48d9-b44f-5f87ac689287,Tony Tan,FINC
703b9eda-169f-42be-9b4e-15efe8ebce86,Stephen Ng,BUSI
7623c665-bce9-477d-97f1-6b25a756f498,Sonic Stark,ENGL
7a7e36b9-d1df-4e80-a7e3-3daa2726fc30,Terrence Summers,ECON
7abca02a-5455-499b-8e18-9d42dec127aa,Anna Jackman,STAT
7e44a54b-98a7-427f-9b05-f72d173a7adf,Hughes Meyers,INTA
7fa0c9ae-bc1a-4acc-a6dc-f0ba72bc9de9,Michael Colbert,INTA
83c38b24-57a7-4ffe-b7c7-b74e7bf14b33,Donald Ng,SOSC
8593ecfd-dc29-4182-b493-bff3d43bea56,Willow Tan,COMS
8714115e-b650-49fe-b6da-193d2eefd259,Sonic Jackson,STAT
877ca467-8a8b-49b6-9bd3-15bbfb26c4bc,Andrew Chan,ENGL
93010c73-462d-46b2-b38d-b1bc6f399f6a,Anna Summers,ENGL
976106c1-2237-46de-8c87-22514217d893,Hughes Pelosi,HUMA
992addd3-07ff-48c5-8c48-9561b163cf57,Andrew Pompeo,BUSI
9acf0df6-c298-4769-ab75-4aee3ca399d3,Terrence Ng,HUMA
a0e21bdc-6201-4c2b-8b13-54d82636e41b,Anne Pelosi,ECON
a5ea2a71-7419-4b62-bbb9-609c202c2a8b,Willow Hathaway,ECON
a76d6b1b-819b-4474-b9ae-c21e261055fb,Kerry Lee,FINC
a8b8e62b-3c69-4a29-9ab3-91e96252aa51,Tony the Cat,STAT
ac91c85a-423d-42de-86d6-2a2f3701f8f8,Tony the Hedgehog,INTA
ad359dcc-85e3-4892-b854-efe012e30989,Terrence Hathaway,INTA
b08c8937-11d9-45a7-a41e-af9dcdbb58bc,Mathew Harris,SOSC
b36a58f3-51f9-47eb-8601-bcc757a8cadb,Seth Pompeo,BUSI
b5b354c7-95dc-44e5-ac04-38e5b4910bd3,Donald Meyers,HUMA
b7d7da6e-bad7-4e26-88db-9fc48107cd54,Jerry Coleman,BUSI
b8a75aa3-921e-43d4-9cce-5d23d16b3b5a,Anne Stark,BUSI
b98be25c-4120-4193-b142-916d5c3aa252,Tony Ng,COMS
c2d0092b-764d-4e95-a50b-8962eedb8701,Anne the Hedgehog,ACCT
c2d2de31-f94e-4e53-bc9f-64ebf3ad999c,Axel Pompeo,FINC
cc1253f0-2c8d-4c4d-94f6-0ef4d5be8fd4,Anna Chan,COMS
d41b54ea-f838-4c6b-8242-5356c623e5d6,Axel Tan,STAT
d63491d3-b630-4a9e-8ece-f530e5fe1445,Anna Hathaway,FINC
d863be12-c529-4386-9fa3-8eee59134eb2,Sam Pelosi,HUMA
d8fba698-025f-49b4-bc8e-26eb32cc1075,Stephen Pompeo,COMS
d9390db6-68f5-4729-9b68-cea703e571c8,Kerry Jackman,COMS
d98fc888-6091-4687-9fb3-21d9a23f2baa,Axel the Hedgehog,INTA
db570c6f-bd42-4561-b73c-5faa23f819d3,Kerry Trump,STAT
e37e1094-aa66-4bb1-9876-fe2c6d11330e,Mathew Colbert,HUMA
e4a378c4-7dd7-41f2-8383-4939ac5aff67,Mathew Ng,ECON
e8d79db9-2ed6-4b16-b380-fdf652396027,Donald Jackson,ENGL
edd1c0bd-2ab7-47f0-ab5b-b1bbfdfa13cc,Terrence the Cat,BUSI
ee7ba4ac-cfee-48bb-9c4e-459deabad533,Melania Chan,BUSI
f360c324-5860-46b5-8e8f-6e92a660a01b,Hughes Ng,ENGL
f463cb74-534f-407c-a98e-36e887018153,Terrence Trump,ACCT
f773c6c8-c6a5-49de-b91f-15a2b3f29a30,Melania Harris,ACCT
f95e7232-0663-44d8-9c6b-3dc8240df0f8,Andrew Stark,ACCT
